Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
GJ2_KoUG3QM,Lah Kok Ada Green Goblin | Beyond Two Souls,"Jul 8, 2022",24,0.1724,0,0:00:25,668,0.6
IZSF-GA7bJo,Sokin Mancing Sore,"Aug 14, 2023",24,2.2322,0,0:05:34,803,2.62
J8DziTBH3Oc,Morning Person 8.1 | Menunggu Praktikum (lagi lagi kelakuan obs),"Mar 28, 2023",24,3.3775,2,0:08:26,798,1.75
J_DfKel7-fo,LELAH SAMA GAME NI GA JAGO JAGO,"Oct 13, 2023",24,2.6878,0,0:06:43,1246,1.28
WEhgltt41X8,Ini kan yang ente pada mau | Morning person 18,"Jul 17, 2023",24,1.6954,0,0:04:14,627,3.51
_X47uvU3pTA,"Cita-Cita Ku Jadi Ninja, Kalo Kamu?","Nov 13, 2020",24,1.8336,0,0:04:35,357,2.8
ab4amnxJF8M,🔴LIVE | Semoga pagi ini tidak bau,"Feb 21, 2023",24,0.7873,0,0:01:58,239,5.44
18xwwRzPdxM,Morning Person 9,"Apr 2, 2023",23,3.1186,1,0:08:08,729,2.47
2CHXV2mv7Gc,🔴LIVE | Mari Manjat Gunung,"Feb 18, 2023",23,3.5164,0,0:09:10,280,2.86
4NMVbrI5994,Surpipal,"Apr 26, 2023",23,0.99,0,0:02:34,1012,2.08
4qTXA75fRBw,Mencoba Workout 20 menit,"Oct 2, 2021",23,0.8686,0,0:02:15,114,14.04
QUkpHHeVEUA,Gabut test koneksi,"Nov 2, 2020",23,0.6258,0,0:01:37,88,18.18
gPPM9vmwu7g,BALAPAN APA KITA??,"Dec 23, 2020",23,1.8752,0,0:04:53,264,4.55
hDWCfoNbIG0,Morning Person 3,"Mar 3, 2023",23,2.4747,0,0:06:27,464,3.23
v8_Wdl9HsX4,🔴LIVE | Speed Run ges awikwok,"Feb 26, 2023",23,0.2842,0,0:00:44,823,2.43
25d-_xkpIeI,Morning Person 11 tapi solo gak ada temen pada turu,"Apr 11, 2023",22,3.0885,1,0:08:25,484,3.31
89JHrkRhB3s,🔴LIVE | Ingin mencari settingan MIC terbaik,"Feb 22, 2023",22,0.8878,0,0:02:25,572,2.97
B55OGjYwHu4,Karoke | onedrive dan obs itu bikin emosi dan nyusahin,"Jun 3, 2023",22,1.309,0,0:03:34,1611,1.18
Iw-ubhx1sWA,🔴LIVE | Masih belom ngerti cara maennya,"Feb 17, 2023",22,1.1663,0,0:03:10,199,6.03
Kcq3ofKAu7Q,Sampe Arc Marine Ford kah?? | One Piece Pirate Warriors 4,"Apr 4, 2021",22,1.3459,0,0:03:40,480,3.96
Lyb13xLrizE,Peradaban Baru Tanpa Bant***,"May 1, 2023",22,0.9504,1,0:02:35,607,2.97
MmUAF2Bd3dA,aKHHGGHH Pubg Dulu Ga SIEH,"Aug 19, 2023",22,2.1217,0,0:05:47,1168,1.54
RDpwLOdapEs,Ngabuburit bersihin kamar,"Apr 8, 2023",22,2.7136,1,0:07:24,460,3.7
WmuZMgK1Mtk,Hayuk Bro Kita Grinding | Genshin Impact #3,"Dec 7, 2021",22,4.2219,1,0:11:30,143,6.29
aJHXDRs69tU,Mencapai Puncak Everest bersama bejo dan asqi #shorts #gaming #roblox,"Feb 21, 2023",22,0.1186,0,0:00:19,959,1.56
zHPPbBk8V_g,Bermain Gamenya Rakel | Random Streaming,"Feb 16, 2022",22,1.0662,-1,0:02:54,183,3.28
BvB2DZBbXCs,PUBG Tapi Pistol Only,"Apr 27, 2023",21,0.9549,0,0:02:43,736,2.58
NZe8Cw8-ws8,Masih Berjuang Untuk Mencapai Bronze | Thetan Arena #2,"Dec 1, 2021",21,1.4265,0,0:04:04,145,7.59
YVOhZLIdLlw,Let's Sail The World,"Apr 16, 2023",21,1.9135,0,0:05:28,1172,1.02
iCHVVZ7o8bo,Morning Person 4,"Mar 14, 2023",21,1.9876,0,0:05:40,749,1.87
sv9vkGSTfTU,Orang kaya yang berpura' menjadi homeless,"Jul 13, 2021",21,1.9371,0,0:05:32,223,5.83
zTMLqggvvlM,Morning Person 12 | Kalian Lebaran Hari Ini?,"Apr 21, 2023",21,3.4227,0,0:09:46,273,6.23
0RKuwywG0YY,So if you lonely,"Sep 10, 2021",20,1.4437,0,0:04:19,143,6.99
ZnZuQHIs6CY,🔴LIVE | Solo Bersama Abang Cengo Ini,"Feb 26, 2023",20,1.3188,0,0:03:57,252,6.35
eg0jr2m3BIg,Cobain dah bentar 2,"Dec 20, 2022",20,3.3849,0,0:10:09,95,9.47
gid5hhDCk1Y,Bisnis SSP Vend Bro,"Jun 8, 2022",20,5.211,0,0:15:37,265,5.28
rRHYsBGxtn0,Mah Kata Temen Aku Cheat Aja Biar Cepet  -Plant VS Zombie 2,"Dec 9, 2020",20,2.9395,0,0:08:49,308,2.27
t3ji_m2QNyQ,🔴LIVE | Mari Manjat Gunung,"Feb 18, 2023",20,1.4049,1,0:04:12,126,5.56
0-jAaWvFQmk,Mari Kita Coba,"Feb 15, 2023",19,1.6942,0,0:05:21,94,8.51
4Yfv7dVuoa0,PEMBOHONGAN PUBLIK,"Oct 22, 2023",19,7.4338,0,0:23:28,1120,1.25
CXzHCOm2POQ,Join ges kita nge random,"Jan 15, 2023",19,1.7948,0,0:05:40,373,3.49
Kd1NJ9ICJok,Mah aku mabar dulu ya sama temen aku,"Nov 18, 2020",19,2.7682,0,0:08:44,370,3.24
NcsUnv_TASA,Hayuk bro kita mabar,"Aug 29, 2020",19,0.1596,1,0:00:30,226,6.19
PgdhJRdKfhY,0 Pity Eula #genshinimpact,"Dec 7, 2021",19,0.199,0,0:00:37,419,2.63
ZicnOxvWI5Q,Sleep Stream bersama fifa,"Aug 31, 2022",19,0.2642,0,0:00:50,5784,0.28
_mO5D7KrN68,Pemanasan,"Feb 12, 2022",19,2.8113,0,0:08:52,139,2.16
jy1E-pE24VA,Mencari game seru yang bisa dimainin beribu ribu jam,"Jan 29, 2023",19,1.2539,0,0:03:57,955,1.15
o3198_Qce5g,Entah kenapa suka banget game Ragnarok kek gini | Ragnarok Online,"Jan 30, 2023",19,0.9823,0,0:03:06,223,4.93
q1pYI43myDY,Tik Tok live full problem (Morning Person),"May 4, 2023",19,1.1882,0,0:03:45,1484,0.74
qeHYJNogsr4,ROLEPLAY JADI YAKUZA JEPUN,"Mar 16, 2021",19,0.6719,0,0:02:07,648,2.47
yZmCgr2Ez_A,Mabar Minigame bro | Minecraft #2,"May 5, 2021",19,1.1506,0,0:03:38,355,4.51
zSf-JtOdlNQ,Genre Game Kesukaan GWEH,"Apr 10, 2023",19,0.6311,0,0:01:59,642,1.56
69Cp4tqxu10,cuma mau test settingan stream,"Aug 14, 2023",18,0.7921,0,0:02:38,865,1.27
ID_ynEqTfy8,NgaduBurit Bersama Mas Fathur,"Apr 1, 2023",18,1.667,0,0:05:33,563,1.95
N3oYfvF3uuU,🔴LIVE | Mencari Harta Karun,"Feb 26, 2023",18,0.4491,0,0:01:29,336,3.87
O4tYFJRuHWQ,Sahur Bersama Bejo,"Mar 23, 2023",18,1.5345,0,0:05:06,794,1.51
U-y-QeYMZ6M,Hari Pertama Bermain Apex lagi,"Feb 16, 2023",18,3.2402,0,0:10:48,218,3.21
l6p-koCTO1E,Ada Iblis DiDiriku!!,"Apr 8, 2023",18,1.7699,0,0:05:53,614,2.44
w3hIMQDFxvk,Morning Person 15,"May 1, 2023",18,2.4634,0,0:08:12,639,2.66
 -_NnocqKtFQ,Gokil Keluar Organnya #GTASADEFINITVE #GTA #GTASA,"Nov 13, 2021",17,0.0796,1,0:00:16,551,0.54
1ejJ7-ENiRI,Ni No Kuni Te Kuni Kuni Kuni,"May 29, 2022",17,0.2775,0,0:00:58,130,9.23
G8DkAl18ovU,Jagoan GW Nih BOS,"Apr 11, 2021",17,1.3198,0,0:04:39,386,3.37
JSaXCeZS4-c,Sini cuy perang aja kita,"May 18, 2023",17,0.9624,0,0:03:23,686,2.33
QymPakayVL0,Highlight | Game Horror Gak JELASSSS,"Feb 18, 2023",17,0.2025,0,0:00:42,1376,0.65
WvfxUDpWwN4,Memikirkan Konsep,"Feb 13, 2022",17,0.7047,0,0:02:29,180,5
XaBgMr33h-E,Pagi RP | JGRP #1,"Nov 28, 2021",17,1.5186,0,0:05:21,201,6.47
fHxj9ALcDEE,BATTLEFIELD ROBLOX,"Oct 23, 2023",17,2.851,0,0:10:03,815,1.6
g1gF1_eZtdg,Lanjutin Beyond Two Souls Di Stream Ajalah,"Jul 12, 2022",17,1.9341,0,0:06:49,158,7.59
tiWhlJIUKZw,Cari Poriftan Entah Dimanapun Itu,"Jun 5, 2022",17,0.7915,0,0:02:47,183,6.56
yhBsDU49RxA,Belajar Basing Ya Main Game | Dynasty Warrior 8,"Feb 22, 2022",17,3.7235,0,0:13:08,216,3.7
2TVwZlDUwb8,Hisoka Istriku | Fatal Frame,"Feb 27, 2022",16,0.1549,0,0:00:34,525,0.57
GIwMXMP615w,TAMATIN LEGO BATMAN??,"Dec 26, 2020",16,1.439,0,0:05:23,255,5.88
LSZmuQknKhw,Zombian Dulu,"Mar 22, 2023",16,1.0459,0,0:03:55,502,1
MtN5TcEth0A,Mah Beli Dia Dimana Ya? -Nekopara vol 0,"Dec 7, 2020",16,2.4298,0,0:09:06,260,3.85
Sw66qkVN2YY,Event Belom Kelar | Genshin Impact,"Feb 14, 2022",16,4.0635,0,0:15:14,138,2.17
VuhqAOuufmo,PATI BISA !!!,"Jul 20, 2021",16,4.6038,0,0:17:15,140,7.14
WDCmMql6oYQ,Yo Story Telling But Its From My Task,"Aug 29, 2021",16,2.2799,0,0:08:32,128,6.25
mXLLg78Ti68,Soking Mabar Mytic Tapi GW emu,"May 17, 2023",16,0.3037,0,0:01:08,435,1.84
t6tX1fzgQnc,Game onsennya gak chill gw teh sukanya yang chill,"Sep 14, 2022",16,1.4347,0,0:05:22,94,3.19
z_EXDG_GeBU,Menggabut Random,"Apr 8, 2021",16,2.6921,0,0:10:05,354,3.95
 -ULJ0iPBlUY,Main Benedetta Sampe Pro (GAMEPLAY ONLY),"Mar 6, 2021",15,1.2905,0,0:05:09,246,4.88
0QxbTtqGKHw,Kalian Mending Download RO juga deh,"Apr 18, 2023",15,1.4898,0,0:05:57,1144,0.96
275jmPwKV2A,OBS TAIII NGE FREEZE MULU,"Mar 19, 2023",15,1.1801,0,0:04:43,324,3.4
3TsqBIKh-2I,SIUUUUUUUUUUUUUUUUUUUUUU,"Apr 19, 2022",15,0.7494,0,0:02:59,110,4.55
8LXntvt6T-E,The Godfather sih keren gamenya ceritanya masok #shorts,"Sep 10, 2022",15,0.0849,0,0:00:20,652,0.46
BB69QGbwOqc,Saya Insyekyur,"Sep 5, 2021",15,0.4389,0,0:01:45,139,7.19
BzWx9f88EEM,Kehidupan Yang Monoton,"Jun 10, 2022",15,2.8562,0,0:11:25,156,5.77
HsNwkDHXq3c,Kita buka resto ramen tapi sebelum itu kita OME,"Sep 13, 2022",15,2.1795,0,0:08:43,113,4.42
gAZSCB8gurA,Boblox Gamenya Thahta,"Sep 26, 2021",15,2.3774,0,0:09:30,130,8.46
guTxHOYHh5g,SOK SINI Cognosphere BAN AING 2,"Jul 16, 2023",15,1.4233,0,0:05:41,444,2.25
iP5OTgjEQ-c,Saatnya Grinding | Ragnarok Retro #2,"Nov 28, 2021",15,2.1822,0,0:08:43,158,5.7
tBeSPO1kOhk,Ini Game Bikin Stress | Thetan Arena #3,"Dec 6, 2021",15,0.6153,0,0:02:27,137,4.38
vPZAJVRu1kY,AP nich btw iran ke bantai,"Nov 22, 2022",15,0.758,0,0:03:01,227,3.52
zV4T8oh3Ef0,Morning Person 8 | Listrik kntl mati mulu,"Mar 27, 2023",15,1.9148,0,0:07:39,443,2.71
9NJSrXV2VPU,Membangun Sebuah Perkotaan Nan Indah Seperti Je**,"Nov 27, 2021",14,1.6077,1,0:06:53,137,5.84
Nuhlh8vLap0,Genshin New Account,"Jun 30, 2022",14,1.8353,0,0:07:51,138,4.35
YDQHi7poONA,Apa Sebenarnya Planet Lain Digunakan Untuk Uji Ilegal? | Lifeless Planet,"Jul 7, 2022",14,0.1566,0,0:00:40,510,1.57
fZydUyjo-2Q,Full Jump Scare Kahh wkwk,"Sep 4, 2023",14,0.4832,0,0:02:04,809,1.24
nP9PhjlC6Zs,Viking itu Kingnya Sedang Dilas Mahkotanya,"Sep 8, 2023",14,0.7229,0,0:03:05,612,1.8
sL4YXMOjWdA,Haaland Pernah Mampir Di channel ini,"Dec 25, 2022",14,0.6293,0,0:02:41,158,1.9
tSy0CBIBuIU,Setelah 2 minggu Repair Laptop,"Jan 15, 2022",14,2.0996,0,0:08:59,103,5.83
C56t2kkYX7E,Vibes Christmas yang homror,"Dec 22, 2022",13,0.3953,0,0:01:49,86,3.49
TqVFHWG59MQ,Di lilit hutang dan harus bayar dalam 30 hari,"Dec 2, 2022",13,2.0007,1,0:09:14,74,2.7
VIzSYiEakhY,POV seorang kiki mengerjakan tugas,"Jul 12, 2021",13,1.3668,0,0:06:18,138,1.45
csfUwpC5o1k,Hari - Hari Ngebug | JGRP #2,"Nov 28, 2021",13,1.3643,0,0:06:17,156,7.05
e01IOdNf7Eg,Nyanyi & Ome TV | Random Stream,"Feb 27, 2022",13,2.2216,0,0:10:15,171,2.34
nORl51hNATk,Itali RSX | GTA V ONLINE,"Dec 25, 2020",13,0.1011,0,0:00:27,511,1.76
rFTVwYBjkbw,NGE DJ SEKALI,"Jan 25, 2021",13,0.3415,0,0:01:34,260,3.46
s3hwww4waEA,Chill Stream Dengan Bertani,"Sep 17, 2022",13,1.5222,0,0:07:01,163,0.61
z4ouW2Q33Js,Membangun Keluarga Bersamaku,"Aug 1, 2021",13,1.5456,0,0:07:08,126,7.94
8lqx6PbTUUc,Indihome sangat tidak sudi untuk saya streaming,"Mar 26, 2023",12,0.7506,0,0:03:45,528,2.08
94HETFjbdNw,Random aja,"Mar 5, 2021",12,1.396,0,0:06:58,245,4.49
Lb-vvPXzxVI,HIHHH SEREMM,"Apr 6, 2023",12,1.3985,0,0:06:59,496,1.81
NLD22UicYpQ,Mabar HarvestMoon kali yee,"Sep 12, 2020",12,0.0758,-1,0:00:22,191,4.71
mmLU97QYP28,Nostalgia pake aethersx2 | Sengoku Basara 2 Heroes,"Dec 19, 2021",12,0.1136,0,0:00:34,269,3.35
pu5IL7aSPZM,Membuktikan Keberannya | Thetan Arena,"Nov 29, 2021",12,1.7532,0,0:08:45,142,6.34
y7t_wM9ys3Y,Selamat Tahun Baru. bagi THR tahun baru bangs,"Jan 3, 2023",12,0.1638,0,0:00:49,145,3.45
 -CwVvosDdXc,Loh Roger??,"Apr 17, 2023",11,1.2443,0,0:06:47,527,1.33
TklzE5Kemto,Adventure With FalJo,"Aug 7, 2023",11,0.1534,0,0:00:50,395,1.77
VNE3a8eWvU0,H-1,"Mar 28, 2022",11,0.459,0,0:02:30,119,4.2
ZfnGsBl4OAg,Grand Launching Yagesya | Ragnarok Retro #5,"Dec 15, 2021",11,2.6004,0,0:14:11,174,4.6
cmEo60aDjRM,Andai Aku Bisa (Cover Gak Jelas),"Aug 6, 2021",11,0.1346,0,0:00:44,52,9.62
tJVjZJPHE4A,Membuka Toko BEER 🍺,"Jul 25, 2023",11,1.2495,0,0:06:48,359,1.67
v39g70IFsc0,FF katanya seru,"Mar 4, 2021",11,1.1315,0,0:06:10,218,1.38
AmRkUccfy0Q,Au Ah Belom Mulai,"Feb 15, 2022",10,0.0963,0,0:00:34,466,0.43
Ft7uvflLl_A,Lupa Streaming Kemarin Waduh | Genshin Impact #2,"Dec 5, 2021",10,0.9197,0,0:05:31,154,2.6
LYPnAxutu4w,Rush Jutaan Tugas!! #StudyWithMe,"Jul 17, 2021",10,2.5615,0,0:15:22,138,4.35
TAX7zMd995Q,Bernyanyi & Random,"Mar 13, 2022",10,0.2864,0,0:01:43,80,2.5
Tej5-T6-Wig,PUBG Mobile aja belajar nanti,"Apr 19, 2022",10,1.0904,0,0:06:32,98,5.1
YF4pienFLao,ngetest aja,"Dec 12, 2020",10,0.1245,0,0:00:44,224,4.02
h1AlEo-l64c,Gabut gak tau game apa ini,"Sep 15, 2022",10,1.4631,0,0:08:46,101,1.98
pbK-5E0evnI,Cobain dah bentar,"Dec 20, 2022",10,0.2896,0,0:01:44,57,0
pgovrMPdpR8,Cintaku Terhalang Jeruji Penjara | THE SIMS 4,"Aug 1, 2021",10,1.5758,0,0:09:27,167,4.79
uNr38k4FcAA,Menghabiskan Last WL di casino,"Jul 1, 2022",10,0.9324,0,0:05:35,105,3.81
uXvjw1G8xNw,Ini Game Horror atau 4NO | Fatal Frame,"Feb 25, 2022",10,0.3428,0,0:02:03,211,1.42
yd22WESMGP8,Saya Menemukan Secret Unit KEMATIAN  -TABS,"Dec 11, 2020",10,0.6493,0,0:03:53,240,1.67
8sfBdUcQuZc,Random Stream Masseh,"Jul 18, 2022",9,0.2027,0,0:01:21,100,5
JRdWnzAKNqc,🔴LIVE | Random Live aja males ngegem katanya,"Feb 18, 2023",9,1.1221,0,0:07:28,193,2.07
Mo81LT0Wtdw,2 HARI MENUJU LULUS,"Mar 20, 2022",9,0.3734,0,0:02:29,114,4.39
OcocohHHtFA,Akhirnya sudah benar servernya | Ragnarok Retro #6,"Dec 16, 2021",9,2.0776,0,0:13:51,173,3.47
PnLqy0jD8sQ,Hiihhhh Seremmm,"Mar 28, 2023",9,0.8867,0,0:05:54,252,1.59
Wkh-gDk4Jt8,Semua bisa gw beli di GTA 5 ONLINE,"Aug 30, 2022",9,1.1206,0,0:07:28,77,5.19
Y1JGH3JXn5c,Kehidupan Tidak Sesuai Judul Game | Never Alone,"Jan 22, 2022",9,1.3509,0,0:09:00,108,4.63
tpvZ20esAfw,Ya gitu dah,"Jan 17, 2023",9,2.3714,0,0:15:48,1439,0.49
0clVuOk_3N0,Membuktikan kata taha kalau ini game lucu,"Jul 19, 2021",8,0.1375,0,0:01:01,115,3.48
Bi1LTB36hg8,PUSH KALI AJA MENANG,"Mar 6, 2021",8,1.1212,0,0:08:24,306,2.29
f1Go6UBPLsg,BILEK #shorts,"Sep 8, 2022",8,0.0268,0,0:00:12,745,0.54
lNDXeRmisME,hadeh,"Apr 19, 2022",8,1.9096,0,0:14:19,106,2.83
neujtfIj4M8,Hayuk bro kita mabar lagi,"Sep 2, 2020",8,0.0449,0,0:00:20,167,2.99
qrt48PZXGBM,Kita Simulasikan Zaman Batu DLL -TABS,"Dec 9, 2020",8,1.8361,0,0:13:46,219,2.74
QTb_b6_poS4,ngetest doang kuat kaga,"Jul 12, 2021",7,0.2805,0,0:02:24,109,3.67
ZVFAIKIoc1Y,Tighnari Gw Selama 15 Hari,"Sep 10, 2022",7,1.2503,0,0:10:42,87,3.45
bP1uz1-U6es,Lelah PUBG grinding inazuma aja | Genshin Impact #4,"Dec 14, 2021",7,0.3114,0,0:02:40,97,5.15
kPRChKt1tPY,H-2,"Mar 27, 2022",7,0.0545,0,0:00:28,128,3.13
oaRkTDIb8Ts,Ni No Kuni Te Kuni Kuni Kuni #2,"May 31, 2022",7,0.1865,0,0:01:35,149,2.68
pNdKiTzAO80,RIBUN ( Rizky Berkebun ),"Oct 23, 2021",7,0.0248,0,0:00:12,367,1.36
sRezZ32UBj8,Morning Person 5,"Mar 19, 2023",7,0.7145,0,0:06:07,472,0.85
v6cbKC2kHO8,Ko Neko Caengg,"Sep 11, 2021",7,2.2483,0,0:19:16,222,1.8
vynhhs15xP8,Akhir Perjalanan Astronot | Lifeless Planet,"Jul 8, 2022",7,0.0138,0,0:00:07,552,1.09
xSHT-5eHECU,ngetest,"Dec 11, 2020",7,0.0923,0,0:00:47,234,2.14
CpvqzLJ2KZ0,Aku Istriku dan Anak Tetangga,"Aug 10, 2021",6,0.4218,0,0:04:13,130,2.31
FpIq3cqT7WQ,Bermain Boblox Bersama Thahta,"Sep 28, 2021",6,0.1437,0,0:01:26,123,3.25
Kf6iunG6LzE,SHOGUN ERA | TOTAL WAR,"Jul 15, 2023",6,0.2657,0,0:02:39,391,1.28
P2AZn6PfRu4,Menggabut dan mengiseng,"Oct 24, 2021",6,0.5446,0,0:05:26,140,2.14
Z9traFs_ivo,Viking Ga Sembarang Viking,"Sep 8, 2023",6,0.1053,0,0:01:03,241,2.07
Zj4_Yct3-FM,Karoke | onedrive dan obs itu bikin emosi dan nyusahin,"Jun 3, 2023",6,0.0227,0,0:00:13,339,1.47
bYmZjJo1sY0,Morning Person 8 | Menunggu Praktikum,"Mar 27, 2023",6,0.12,0,0:01:11,239,1.67
pyTPozHuKcA,Membangun team di liga inggris dengan pemain indo,"Sep 4, 2022",6,0.9487,0,0:09:29,117,3.42
uYuw036yI98,Octopath Traveler #2,"Aug 25, 2022",6,0.0243,0,0:00:14,119,2.52
zotFiJntwDU,Bewwan Ngep Ngep dengan Lord Ngep Ngep,"Oct 11, 2021",6,0.1255,0,0:01:15,123,4.07
1Aud-BNWE1A,Pakailah Party Seadanya,"Sep 2, 2021",5,0.071,0,0:00:51,97,2.06
6kdf_8GSpWY,Mungkin Dengan Streaming GW Lebih Terpacu Belajar,"Mar 5, 2022",5,0.0158,0,0:00:11,143,3.5
I-rTafnmcKI,Mencoba Apakah Bisa (2),"Dec 1, 2021",5,0.6474,0,0:07:46,122,3.28
P5ZjxTgl_zU,Nobar PMGC with SC | RifalJO,"Dec 1, 2021",5,0.7497,0,0:08:59,203,1.48
VkXZ1PAlVMI,Morning Person with PUBG OBS UPDATE MALAH BUG TERUS,"May 29, 2023",5,0.4617,0,0:05:32,211,1.42
WvpFNrYFJfo,YO,"Mar 22, 2022",5,0.1313,0,0:01:34,101,1.98
eDgjq4CZ3qE,INI GAME APA SIH MAH??,"Dec 29, 2020",5,0.1359,0,0:01:37,269,1.86
fdkMt4L2Zjs,Akhirnya Bisa Setelah Gw otak-atik,"Oct 13, 2021",5,1.0308,0,0:12:22,123,1.63
22E9Hp7iBDw,Semut Semut Kecil Saya Mau Tanya🎵,"Jul 19, 2023",4,0.0779,0,0:01:10,355,0.85
2xeXwY3xd0s,Buat Test,"Dec 27, 2020",4,0.6576,0,0:09:51,249,1.61
2yez5PtnSVQ,Males NgeEvent,"Jan 29, 2022",4,0.0908,0,0:01:21,80,1.25
30GKvGG3eHY,Octopath Traveler #1,"Aug 20, 2022",4,0.8869,0,0:13:18,82,0
38jDedlC_QI,Saya Kembali Mending Nyoba TOF | Tower Of Fantasy,"Aug 20, 2022",4,0.2104,0,0:03:09,69,2.9
4j-Lj526Jd8,Pembalasan Dendam Master Sifu,"Feb 12, 2022",4,0.2662,1,0:03:59,91,2.2
9sNasMrQ5LY,Membuka Toko BEER 🍺,"Jul 24, 2023",4,0.0086,0,0:00:07,207,1.93
FpCnQWcZVdw,TAMATIN LEGO BATMAN??,"Dec 26, 2020",4,0.1081,0,0:01:37,216,0.93
LSFTMTyJbIk,Streaming Nyuci Motor,,4,0.344,0,0:05:09,0,
Ngq-7Hfbnps,Pusing dicombo ulangan mending mabar bareng billy burung,"Aug 6, 2021",4,0.2358,0,0:03:32,120,2.5
R64w_3Wqyrg,Live Turu,,4,0.0626,0,0:00:56,69,1.45
cNH2NdV58CY,Mencoba Apakah Bisa,"Dec 1, 2021",4,0.1252,0,0:01:52,104,0.96
meE2zKV32eY,"Besok sekolah, biar kek orang yutuber yutuber main Ragnarok X","Jul 11, 2021",4,0.1333,0,0:01:59,142,2.82
rq8EVbwk7Bk,Test aja,"Dec 22, 2022",4,0.1892,0,0:02:50,47,4.26
sN-Bjgv2Gq4,BISA MECAHIN PALA ORANG??,"Dec 26, 2020",4,0.6821,0,0:10:13,242,1.65
t9qNZXPyggk,Belajar Basing Ya Main Game | Dynasty Warrior 8,"Feb 21, 2022",4,0.0843,0,0:01:15,121,0
w95X0aKVh4o,Membawa Karasuno menjadi juara,"Aug 30, 2021",4,0.1238,0,0:01:51,110,2.73
14GavtoY_mo,🔴LIVE | Solo Bersama Abang Cengo Ini (Duh Bug OBS),"Feb 26, 2023",3,0.0047,0,0:00:05,142,2.11
2FEWg1RULj0,Diserbu tugas tetap bermain #PlayWithMe,"Jul 19, 2021",3,0.0601,0,0:01:12,91,0
8lp87Db1qq4,Im Curious,"Aug 27, 2021",3,0.1758,0,0:03:30,93,3.23
EUNc71g6GyA,Stress Valo,"Aug 28, 2021",3,0.0317,0,0:00:38,96,3.13
db_hVgZrWOs,Males NgeEvent',"Jan 29, 2022",3,1.73,0,0:34:36,85,0
q73aYPySa5w,Finish What I Have Done Like a 1 years ago,"Oct 13, 2021",3,0.2138,0,0:04:16,90,1.11
38uruYcu6vY,ML,"May 1, 2022",2,0.0196,0,0:00:35,82,1.22
PODfHImOags,Random Stream Masseh,"Aug 18, 2022",2,0.003,0,0:00:05,61,1.64
fvdr0j1macY,Mengisi Waktu Senggang | Random Game,"Nov 26, 2021",2,0.0036,0,0:00:06,108,0.93
mALcZio_nh8,Simple MMO,,2,0.0371,0,0:01:06,0,
snTMqZmhYUI,PUSH KALI AJA MENANG (2),"Mar 6, 2021",2,0.0106,0,0:00:19,236,0.42
wU7oBDRlbAw,Mencari Tau Apa Yang Terjadi Saat Malam Hari. Disaat Tidur,,2,0.0157,0,0:00:28,0,
waKxxq4Qhlo,Pagi RP | JGRP #1 (ReStream),"Nov 28, 2021",2,0.0328,0,0:00:59,99,2.02
Ix2JbDCWMFM,Ni No Kuni Te Kuni Kuni,"May 27, 2022",1,0.0406,0,0:02:25,91,1.1
W8WTm4rELzY,Grand Launching YagesYa | Ragnarok Retro #5,"Dec 15, 2021",1,0.0014,0,0:00:05,117,0.85
c90bUF2237c,Ni No Kuni Te Kuni Kuni Kuni,"May 27, 2022",1,0.0349,0,0:02:05,93,1.08
xxa8MbuWGzg,Mancity VS Madrid Who's gonna win?,"May 9, 2023",1,0.1171,0,0:07:01,9,0
