Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,18234,173.6617,29,254028,4.94
VHYI__iyLgQ,Ramadhan Tiba (Upin Ipin),"Apr 23, 2020",17428,103.0572,28,177395,6.72
GX33haiJ8j8,MUNGKIN ADA BAKAT DI NI GAME,"Oct 2, 2023",161,6.9403,0,23730,0.61
ZrflOA3k_X4,CEBELAPA JAGO SIH AKU,"Oct 9, 2023",121,7.2925,0,14318,0.73
tWhNSPPVxKI,EMANG BOLEH SERANDOM INI,"Oct 26, 2023",73,9.6525,1,11306,0.52
krRcqRh-OV4,HOTEL YANG PENUH MISTERI,"Oct 21, 2023",57,3.9048,0,3604,0.83
mSGUGJs_RJ0,EMANG BOLEH SEJAGO INI,"Oct 20, 2023",44,4.2806,0,1438,2.64
kLeYOcGle70,EMANG BOLEH SENUMPUK INI?,"Oct 24, 2023",42,7.2391,0,2018,1.59
 -Z-GCmghqFM,Manusia Melawan Alien | High On Life,"Oct 11, 2023",28,2.3027,0,1278,1.41
0hZBdSUwSCE,TAU MEME INI??,"Oct 20, 2023",28,5.3071,0,1887,1.11
hkxFr0CWHY4,UJUG UJUG VALO,"Oct 6, 2023",27,2.5346,0,1614,0.68
jj_zLVxnhV8,Meyakinkan Diri,"Oct 23, 2023",27,3.3067,0,2679,0.67
CqAEFNTWBQo,KUDU GANTI MOUSE KAH BIAR JAGO? PENING PALA NI,"Oct 24, 2023",24,3.3537,1,1101,1.91
J_DfKel7-fo,LELAH SAMA GAME NI GA JAGO JAGO,"Oct 13, 2023",24,2.6878,0,1246,1.28
4Yfv7dVuoa0,PEMBOHONGAN PUBLIK,"Oct 22, 2023",19,7.4338,0,1120,1.25
AW-FEW58Wt0,ðŸ”´LIVE | Menunggu scene segnya mas bro,"Feb 22, 2023",17,0.296,0,216,6.02
fHxj9ALcDEE,BATTLEFIELD ROBLOX,"Oct 23, 2023",17,2.851,0,815,1.6
jafYtKBJesc,Spongebob FakBoi,"Apr 21, 2020",10,0.0603,0,115,6.96
aHdXvim035g,Fix Tamat Labyrinthine,"Sep 8, 2023",7,0.3001,0,245,2.86
z3kwq3omcnk,MANCHESTER CITY KE JAKARTA!!!!,"Sep 13, 2023",6,0.0324,0,342,1.46
1ELhh0bCcG8,Akang Spidey Te kedi kedi,"Jun 24, 2023",5,0.0077,0,1335,0.22
HdONdxYyoKI,ILMU MUNGUT,"Sep 29, 2023",5,0.0295,0,577,0.87
VUITaNhY24A,No Challenging Game,"Sep 13, 2023",5,0.0688,0,56,7.14
YbWqJPodsaw,DAH EMANG GA ADA BAKAT,"Sep 29, 2023",5,0.1034,0,219,2.28
YMC1fq1E220,The Real Backroom,"Apr 11, 2023",4,0.0188,0,122,1.64
aJHXDRs69tU,Mencapai Puncak Everest bersama bejo dan asqi #shorts #gaming #roblox,"Feb 21, 2023",3,0.0082,0,116,1.72
2AjNGE7Ouyw,Shigatsu wa Kimi no Uso OST | Relaxing Piano Music,"Oct 15, 2020",2,0.0139,0,39,5.13
CfKVAICInN4,"Kalo lu nemuin Lucinta Luna, lu harus niruin suara gagak doi Search : wanita berbatang -Google","Apr 11, 2020",2,0.0044,0,21,4.76
GGoiEh1_6bo,Pandemic 1993 saya kira dapat membuat saya terkejud #shorts #horrorgaming,"Sep 8, 2022",2,0.0023,0,217,0.46
GIIc_-tDlOE,Sudah Waktunya Melepas Lajang,"Sep 4, 2023",2,0.0029,0,122,0.82
VY2TTo3mV1c,Chat and Adventure,"Aug 8, 2023",2,0.0014,0,199,1.01
cVrCOOVPYYY,PEMULA YANG AKAN TETAP MENJADI PEMULA,"Sep 19, 2023",2,0.0134,0,58,1.72
dGQ463qHTAY,BERTANI DAN HIDUP DAMAI,"Sep 23, 2023",2,0.0776,0,86,1.16
e7orIIPpr98,Uncovering the Shocking Truth About Gaming Controllers You Didn't Know #shorts #gamepad,"Jun 1, 2023",2,0.0066,0,148,1.35
f1Go6UBPLsg,BILEK #shorts,"Sep 8, 2022",2,0.0103,0,39,2.56
hyP5guNX3DQ,"The Outlast, Ni game mutliplayer ya","May 20, 2023",2,0.055,0,103,0.97
puYfjq5TWv4,Terlalu Banyak Gaya Dapat Berbahaya,"Sep 9, 2023",2,0.0014,0,263,0.76
 -_NnocqKtFQ,Gokil Keluar Organnya #GTASADEFINITVE #GTA #GTASA,"Nov 13, 2021",1,0.008,0,31,0
0FpHSXYTa9o,Study With FalJo | Pendidikan Kewarganegaraan,"Jun 14, 2023",1,0.001,0,71,1.41
2_l1JljRpMg,MAN CITY VS WEST HAM LIVE !!!!,"Sep 16, 2023",1,0.0024,0,38,2.63
5awVicbECzg,TAMAT JUGA NI GEAR 5,"Sep 22, 2023",1,0.0349,0,43,2.33
8LXntvt6T-E,The Godfather sih keren gamenya ceritanya masok #shorts,"Sep 10, 2022",1,0.0166,0,104,0
CXzHCOm2POQ,Join ges kita nge random,"Jan 15, 2023",1,0.0014,0,3,33.33
DD4WJx3-9B4,Ngaduburit Bukan Bersama Leon,"Mar 24, 2023",1,0.0141,0,78,1.28
DLMt06FY1HA,IKN DI ROBLOX!!!,"Sep 12, 2023",1,0.0006,0,561,0
DPO2nRUB5vk,"Terakhir, Main Game Gampang","Sep 11, 2023",1,0.0022,0,10,10
TmYksAPaACg,Growtopia| Satisfying Thing In growtopia,"Dec 22, 2019",1,0.0053,,15,6.67
UyNajNnkT-s,PERJALANAN PRIA BEROTOT,"Sep 20, 2023",1,0.0002,0,68,1.47
bgxz_Sm7dQE,Mori Santuy | GTA V MOD,"Dec 24, 2020",1,0.0022,0,24,0
cF11lf9L4JU,Rencanannya sih mau bikin auto farm BEE,"Aug 16, 2023",1,0.0041,0,9,11.11
cWWFujPd7_E,Gilakk keren bat su,"Sep 11, 2023",1,0.0036,0,18,5.56
iHCZY1OEBLw,Ni game random banget #shorts #gaming #horrorgaming,"Feb 18, 2023",1,0.0012,0,119,0
j7IRBlQvbJk,Polisi Korup Seperti fredin mobile legend cukup menguntungkan,"Mar 14, 2023",1,0.0008,0,52,0
jE2p58jlYUQ,Haaland Harus Menang Baloon D'or | (NGEDIT) Ngebacot Tanpa Edit #1,"Sep 7, 2023",1,0.0003,0,216,0.46
oK2dOHZb8T8,Kehidupan RifalJo Di Kota Baru,"Mar 13, 2023",1,0.0178,0,42,2.38
y7t_wM9ys3Y,Selamat Tahun Baru. bagi THR tahun baru bangs,"Jan 3, 2023",1,0.0006,0,1,100
yoaqO6rl76c,Random Discrot,"Mar 21, 2023",1,0.0033,0,98,1.02
